Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Gale Hefner",easy,35,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:19:47","15:19:48",
Bot1,"Gale Hefner",easy,35,Failed,"Spawn Rush","Spawn Rush: Objective #1","1","15:19:49","15:20:29",
Bot2,"Joseph Jorge",hard,43,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:19:48","15:21:22",
Bot3,"Eris Медведков",hard,38,Completed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","15:19:49","15:20:22",
Bot3,"Eris Медведков",hard,38,Failed,"Forklift","Forklift: Objective #1","1","15:20:27","15:23:35",
Bot4,"Лев Бобков",hard,35,Failed,"Weapon Crate Outside of Forklift","Weapon Crate Outside of Forklift: Objective #1","1","15:19:50","15:24:17",
Bot5,"Феликс Лощилов",hard,36,Completed,"Basement Crates","Basement Crates: Objective #2","1","15:19:51","15:24:32",
Bot5,"Феликс Лощилов",hard,36,Completed,"Basement Crates","Basement Crates: Objective #1","1","15:24:37","15:24:41",
Bot5,"Феликс Лощилов",hard,36,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","15:24:46","15:25:56",
Bot12,"Carl Givens",easy,38,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:23:03","15:23:36",
Bot13,"Фёдор Петрухин",normal,42,Failed,"Health Care Privacy - Part 5","Zone ter_017_area_1","1","15:26:26","15:26:28",
Bot13,"Фёдор Петрухин",normal,42,Failed,"3rd Floor Office","3rd Floor Office: Objective #1","1","15:26:29","15:27:35",
Bot19,"Bryon Bowley",normal,41,Failed,"Holding Area Patrol","Holding Area Patrol: Objective #1","1","15:29:48","15:31:53",
