Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot282,"Анатолий Пономарёв",normal,24,Failed,"Revision - Reserve","Zone tadeush_stryker_area_mark_3","1","18:41:46","18:46:46",
Bot281,"Гордей Вицин",normal,46,Failed,"Command Center","Command Center: Objective #1","1","18:41:47","18:46:45",
Bot286,"Пётр Можаев",normal,35,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","18:41:47","18:42:01",
Bot286,"Пётр Можаев",normal,35,Failed,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","18:42:06","18:46:51",
Bot286,"Пётр Можаев",normal,35,Failed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","18:44:56","18:46:51",
Bot286,"Пётр Можаев",normal,35,Failed,"Inventory Check","Zone baraholshik_arsenal_area_3","1","18:45:16","18:46:51",
Bot286,"Пётр Можаев",normal,35,Failed,"Inventory Check","Zone baraholshik_arsenal_area_1","1","18:45:38","18:46:51",
Bot286,"Пётр Можаев",normal,35,Failed,"Documents","Item Military documents #2","1","18:45:58","18:46:51",
Bot291,"Napoleon Celis",normal,35,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","18:41:51","18:43:03",
Bot292,"Renaldo Heyer",normal,39,Failed,"White Pawn","White Pawn: Objective #1","1","18:43:46","18:44:52",
Bot292,"Renaldo Heyer",normal,39,Failed,"White Pawn","White Pawn: Objective #4","1","18:44:57","18:44:57",
Bot292,"Renaldo Heyer",normal,39,Failed,"White Pawn","White Pawn: Objective #2","1","18:45:02","18:45:04",
Bot292,"Renaldo Heyer",normal,39,Failed,"White Pawn","White Pawn: Objective #5","1","18:45:09","18:47:37",
Bot293,"Gaylord Westover",normal,39,Failed,"Pest Control","Zone eger_barracks_area_1","1","18:43:46","18:47:54",
Bot300,"Stacy Macaluso",normal,53,Failed,"Boss Hunter","Spawn Point (-94.9 -14.8 3.4)","1","18:45:52","18:52:39",
Bot299,"Donald Echols",normal,35,Failed,"The Bunker - Part 2","Zone prapor_025_area_1","1","18:45:52","18:49:33",
Bot303,"Ulysses Cumberland",easy,28,Failed,"Surplus Goods","Item MBT Integrated Navigation System","1","18:49:54","18:54:01",
Bot303,"Ulysses Cumberland",easy,28,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_12","1","18:54:06","18:54:26",
Bot303,"Ulysses Cumberland",easy,28,Pending,"Revision - Reserve","Zone tadeush_bmp2_area_check_12","1","18:54:31","N/A",
Bot303,"Ulysses Cumberland",easy,28,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","18:55:16","18:57:29",
Bot303,"Ulysses Cumberland",easy,28,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_13","1","18:57:34","18:58:50",
