Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot154,"Rodrigo Yap",easy,60,Completed,"Boss Hunter","Spawn Point (-266.8 -6.2 23.1)","1","17:23:03","17:23:15",
Bot154,"Rodrigo Yap",easy,60,Completed,"Boss Hunter","Spawn Point (-174.1 -6.9 1.2)","1","17:23:20","17:23:40",
Bot154,"Rodrigo Yap",easy,60,Failed,"Boss Hunter","Spawn Point (-145.4 -6.9 53.3)","1","17:23:45","17:26:22",
Bot155,"Dwight Yarbro",normal,20,Failed,"Back Door","Zone mechanik_exit_area_1","1","17:23:03","17:23:04",
Bot155,"Dwight Yarbro",normal,20,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","17:23:09","17:23:10",
Bot155,"Dwight Yarbro",normal,20,Failed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","17:23:16","17:24:32",
Bot155,"Dwight Yarbro",normal,20,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","17:24:37","17:24:54",
Bot155,"Dwight Yarbro",normal,20,Completed,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","17:24:59","17:27:13",
Bot155,"Dwight Yarbro",normal,20,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","17:27:18","17:28:46",
Bot157,"Jim Kapoor",normal,47,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","17:23:04","17:24:51",
Bot157,"Jim Kapoor",normal,47,Completed,"Train Yard","Train Yard: Objective #4","1","17:24:56","17:26:15",
Bot157,"Jim Kapoor",normal,47,Completed,"Train Yard","Train Yard: Objective #5","1","17:26:20","17:26:44",
Bot157,"Jim Kapoor",normal,47,Completed,"Train Yard","Train Yard: Objective #6","1","17:26:49","17:27:08",
Bot157,"Jim Kapoor",normal,47,Completed,"Train Yard","Train Yard: Objective #3","1","17:27:13","17:30:51",
Bot157,"Jim Kapoor",normal,47,Completed,"Train Yard","Train Yard: Objective #2","1","17:30:56","17:31:14",
Bot157,"Jim Kapoor",normal,47,Failed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","17:31:19","17:32:48",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #2","1","17:32:53","17:32:53",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #4","1","17:32:58","17:32:58",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #6","1","17:33:03","17:33:03",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #5","1","17:33:08","17:33:08",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #7","1","17:33:13","17:33:13",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #3","1","17:33:18","17:33:18",
Bot157,"Jim Kapoor",normal,47,Failed,"Hermetic Depot","Hermetic Depot: Objective #1","1","17:33:24","17:33:24",
Bot156,"Роман Филиппов",easy,45,Completed,"Boss Hunter","Spawn Point (-53.0 -6.8 40.6)","1","17:23:04","17:23:49",
