Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Ваха Белый (Neville)",hard,1,Failed,"Techlight","Techlight: Objective #1","1","00:57:41","00:59:15",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"Techlight","Techlight: Objective #2","3","00:59:21","01:01:46",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #7","1","01:01:51","01:02:11",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #2","1","01:02:17","01:02:32",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #3","1","01:02:37","01:02:56",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #8","1","01:03:01","01:03:19",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #6","1","01:03:25","01:03:32",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #9","1","01:03:37","01:04:02",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #13","1","01:04:07","01:04:20",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #12","1","01:04:25","01:04:41",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #11","1","01:04:46","01:05:03",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #10","1","01:05:08","01:05:24",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #4","1","01:05:30","01:05:45",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #1","1","01:05:51","01:06:04",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"OLI Showroom West","OLI Showroom West: Objective #5","1","01:06:09","01:06:22",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"Safe Room Area","Safe Room Area: Objective #2","1","01:06:27","01:07:00",
Bot1,"Ваха Белый (Neville)",hard,1,Completed,"Safe Room Area","Safe Room Area: Objective #1","1","01:07:05","01:07:17",
