Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot326,"Clement Carrigan",hard,20,Active,"Revision - Reserve","Zone tadeush_bmp2_area_check_11","1","19:51:54","N/A",
Bot327,"Waldo Conaway",hard,45,Pending,"Hermetic Depot","Hermetic Depot: Objective #8","1","19:51:54","N/A",
Bot332,"Павел Калагин",normal,50,Completed,"Boss Hunter","Spawn Point (-74.1 -6.8 27.0)","1","19:51:55","19:52:27",
Bot332,"Павел Калагин",normal,50,Pending,"Boss Hunter","Spawn Point (-118.6 -6.9 -3.0)","1","19:52:32","N/A",
Bot333,"Дмитрий Юрасов",normal,35,Failed,"Pest Control","Zone eger_barracks_area_1","1","19:51:55","19:52:41",
Bot338,"Данила Ляпунов",hard,34,Pending,"The Bunker - Part 2","Zone prapor_025_area_4","1","19:51:56","N/A",
Bot337,"Макей Коржаков",hard,31,Failed,"Back Door","Zone mechanik_exit_area_1","1","19:51:57","19:51:57",
Bot337,"Макей Коржаков",hard,31,Failed,"Classified Technologies","Item T-90M Commander Control Panel","1","19:52:02","19:52:26",
Bot337,"Макей Коржаков",hard,31,Active,"The Bunker - Part 2","Zone prapor_025_area_4","1","19:52:32","N/A",
Bot343,"Глеб Кариев",hard,43,Active,"Pest Control","Zone eger_barracks_area_2","1","19:52:13","N/A",
Bot344,"Родион Никифоров",normal,45,Pending,"D2 from Dome","D2 from Dome: Objective #2","1","19:52:48","N/A",
Bot344,"Родион Никифоров",normal,45,Active,"D2 from Dome","D2 from Dome: Objective #3","1","19:53:24","N/A",
