Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Денис Илюхин",normal,28,Failed,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","15:11:54","15:11:56",
Bot1,"Денис Илюхин",normal,28,Failed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","15:12:01","15:15:42",
Bot1,"Денис Илюхин",normal,28,Failed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","15:15:47","15:17:06",
Bot1,"Денис Илюхин",normal,28,Failed,"Command Center","Command Center: Objective #9","1","15:17:11","15:19:15",
Bot1,"Денис Илюхин",normal,28,Failed,"Command Center","Command Center: Objective #3","1","15:18:13","15:19:15",
Bot1,"Денис Илюхин",normal,28,Failed,"Command Center","Command Center: Objective #2","1","15:18:33","15:19:15",
Bot2,"Кайл Новогодний (Stuart)",easy,1,Failed,"Command Center","Command Center: Objective #9","1","15:11:54","15:12:14",
Bot4,"Арсений Лядов",hard,61,Failed,"White Bishop","White Bishop: Objective #1","1","15:11:54","15:16:46",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Archived,"Knight Garages","Knight Garages: Objective #2","1","15:11:54","15:12:44",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Archived,"Knight Garages","Knight Garages: Objective #1","1","15:12:49","15:13:06",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Gas Station Building","Gas Station Building: Objective #1","1","15:13:11","15:13:39",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Archived,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","15:13:45","15:14:33",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Archived,"Trenches","Trenches: Objective #1","1","15:14:34","15:15:19",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Archived,"Trenches","Trenches: Objective #2","1","15:15:24","15:15:42",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Failed,"Black Knight","Black Knight: Objective #7","1","15:15:47","15:16:49",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Failed,"Black Knight","Black Knight: Objective #6","1","15:16:54","15:17:09",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Black Knight","Black Knight: Objective #8","1","15:17:14","15:17:29",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Black Knight","Black Knight: Objective #5","1","15:17:34","15:17:55",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Black Knight","Black Knight: Objective #1","1","15:18:00","15:18:31",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Black Knight","Black Knight: Objective #2","1","15:18:37","15:19:48",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Black Knight","Black Knight: Objective #9","1","15:19:53","15:20:50",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Failed,"Black Knight","Black Knight: Objective #3","1","15:20:55","15:21:08",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Black Knight","Black Knight: Objective #4","1","15:21:13","15:21:46",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Trenches","Trenches: Objective #2","1","15:21:51","15:23:00",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"Trenches","Trenches: Objective #1","1","15:23:05","15:23:10",
Bot5,"Прохор Упитыш (Демьян)",normal,1,Completed,"White King","White King: Objective #6","1","15:23:16","15:23:29",
Bot6,"Erik Guillot",normal,29,Failed,"Pest Control","Zone eger_barracks_area_1","1","15:11:56","15:14:40",
Bot7,"George Hollingsworth",normal,42,Failed,"Documents","Item Military documents #3","1","15:11:56","15:19:17",
Bot7,"George Hollingsworth",normal,42,Completed,"Documents","Item Military documents #2","1","15:16:30","15:16:48",
Bot7,"George Hollingsworth",normal,42,Completed,"Documents","Item Military documents #1","1","15:16:53","15:17:10",
Bot7,"George Hollingsworth",normal,42,Completed,"Command Center","Command Center: Objective #7","2","15:17:15","15:18:45",
Bot7,"George Hollingsworth",normal,42,Failed,"Command Center","Command Center: Objective #8","1","15:18:50","15:18:50",
Bot7,"George Hollingsworth",normal,42,Failed,"Command Center","Command Center: Objective #6","1","15:18:55","15:19:17",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_mark_2","1","15:11:59","15:12:05",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Revision - Reserve","Zone tadeush_t90_area_check_1","1","15:12:10","15:13:29",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_4","1","15:13:35","15:14:38",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","15:14:43","15:16:13",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Revision - Reserve","Zone tadeush_stryker_area_check_3","1","15:16:18","15:17:32",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","15:17:37","15:21:37",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","15:21:42","15:22:00",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Hermetic Depot","Hermetic Depot: Objective #2","1","15:22:05","15:22:17",
Bot11,"Ипполит Чайковский",easy,32,Pending,"Hermetic Depot","Hermetic Depot: Objective #7","1","15:22:22","N/A",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","15:23:05","15:23:14",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","15:23:19","15:24:25",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","15:24:31","15:24:44",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Hermetic Depot","Hermetic Depot: Objective #5","1","15:24:49","15:24:50",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Black Knight","Black Knight: Objective #1","1","15:24:55","15:26:45",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Black Knight","Black Knight: Objective #6","1","15:26:51","15:26:51",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Black Knight","Black Knight: Objective #3","1","15:26:56","15:26:56",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Black Knight","Black Knight: Objective #5","1","15:27:01","15:27:14",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Black Knight","Black Knight: Objective #8","1","15:27:20","15:27:27",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Black Knight","Black Knight: Objective #9","1","15:27:32","15:27:39",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Black Knight","Black Knight: Objective #2","1","15:27:44","15:28:25",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Black Knight","Black Knight: Objective #4","1","15:28:30","15:28:40",
Bot11,"Ипполит Чайковский",easy,32,Failed,"Black Knight","Black Knight: Objective #7","1","15:28:45","15:30:26",
Bot11,"Ипполит Чайковский",easy,32,Completed,"Trenches","Trenches: Objective #2","1","15:30:31","15:31:20",
Bot12,"Игорь Разуваев",easy,40,Completed,"BMP #1","BMP #1: Objective #1","1","15:11:59","15:12:02",
Bot12,"Игорь Разуваев",easy,40,Pending,"Reserve","Zone huntsman_029","1","15:12:07","N/A",
Bot15,"Renato Mcniel",normal,33,Completed,"White Pawn","White Pawn: Objective #2","1","15:14:10","15:16:54",
Bot15,"Renato Mcniel",normal,33,Failed,"White Pawn","White Pawn: Objective #3","1","15:16:59","15:17:27",
Bot18,"Гит Полседьмого (Kenny)",easy,1,Completed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #1","1","15:14:49","15:30:02",
Bot18,"Гит Полседьмого (Kenny)",easy,1,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","15:30:07","15:30:48",
Bot20,"Kendall Hunnicutt",hard,36,Completed,"White King","White King: Objective #2","1","15:15:58","15:18:08",
Bot20,"Kendall Hunnicutt",hard,36,Completed,"White King","White King: Objective #1","1","15:18:13","15:18:20",
Bot20,"Kendall Hunnicutt",hard,36,Completed,"White King","White King: Objective #14","1","15:18:25","15:18:53",
Bot20,"Kendall Hunnicutt",hard,36,Completed,"White King","White King: Objective #10","1","15:18:58","15:20:27",
Bot20,"Kendall Hunnicutt",hard,36,Active,"White King","White King: Objective #9","1","15:20:32","N/A",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #6","1","15:17:49","15:18:24",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #5","1","15:18:29","15:19:11",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #7","1","15:19:16","15:19:43",
Bot21,"Донатий Грустный (Luke)",easy,1,Failed,"White King","White King: Objective #13","1","15:19:48","15:20:06",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #4","1","15:20:11","15:20:41",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #9","1","15:20:46","15:21:32",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #10","1","15:21:37","15:21:44",
Bot21,"Донатий Грустный (Luke)",easy,1,Failed,"White King","White King: Objective #15","1","15:21:49","15:21:49",
Bot21,"Донатий Грустный (Luke)",easy,1,Completed,"White King","White King: Objective #12","1","15:21:54","15:22:11",
Bot21,"Донатий Грустный (Luke)",easy,1,Failed,"White King","White King: Objective #14","1","15:22:16","15:24:28",
Bot23,"Gerald Thresher",normal,33,Failed,"Black Pawn","Black Pawn: Objective #3","1","15:18:00","15:27:12",
Bot22,"Jon Purdue",normal,41,Failed,"Command Center","Command Center: Objective #5","1","15:18:00","15:26:37",
Bot24,"Lanny Beeman",hard,31,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #2","1","15:20:04","15:20:16",
Bot24,"Lanny Beeman",hard,31,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #4","1","15:20:21","15:21:43",
Bot24,"Lanny Beeman",hard,31,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #1","1","15:21:48","15:22:11",
Bot24,"Lanny Beeman",hard,31,Completed,"Black Bishop Underground","Black Bishop Underground: Objective #5","1","15:22:16","15:22:38",
