Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot51,"Антон Безбородов",easy,35,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","17:18:51","17:20:58",
Bot51,"Антон Безбородов",easy,35,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","17:21:03","17:21:23",
Bot51,"Антон Безбородов",easy,35,Completed,"Ambulance","Ambulance: Objective #1","1","17:21:28","17:22:14",
Bot51,"Антон Безбородов",easy,35,Failed,"Informed Means Armed","Zone place_skier_11_1","1","17:22:19","17:23:27",
Bot51,"Антон Безбородов",easy,35,Failed,"Sawmill Shack","Sawmill Shack: Objective #1","1","17:23:28","17:24:02",
Bot52,"Евгений Стрекалов",easy,31,Pending,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","17:18:51","N/A",
Bot53,"BLACKDINK Дюженков",easy,36,Active,"Health Care Privacy - Part 3","Zone ter_015_area_1","1","17:18:51","N/A",
Bot57,"Richard Berthelot",hard,12,Failed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","17:18:56","17:23:07",
Bot56,"Carter Hervey",hard,15,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","17:18:56","17:20:08",
Bot56,"Carter Hervey",hard,15,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","17:20:14","17:20:47",
Bot56,"Carter Hervey",hard,15,Completed,"Old Sawmill","Old Sawmill: Objective #2","2","17:20:52","17:21:46",
Bot56,"Carter Hervey",hard,15,Active,"Old Sawmill","Old Sawmill: Objective #4","3","17:21:51","N/A",
Bot58,"Pablo Mangus",hard,23,Pending,"Steady Signal","Zone q14_8_5","1","17:18:56","N/A",
Bot59,"Coy Fabry",hard,40,Pending,"The Blood of War - Part 3","Zone bar_fuel3_2","1","17:18:56","N/A",
Bot69,"Архипп Близнюк",normal,22,Active,"Scav Base","Scav Base: Objective #2","1","17:24:51","N/A",
Bot70,"Геннадий Чмыхов",normal,39,Pending,"Scav Base","Scav Base: Objective #2","1","17:24:51","N/A",
Bot71,"Игорян Сишарп (Randell)",easy,1,Pending,"Scav Town","Scav Town: Objective #5","3","17:24:55","N/A",
