Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot31,"Альберт Булгаков",easy,35,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","16:34:54","16:40:58",
Bot31,"Альберт Булгаков",easy,35,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","16:41:03","16:42:25",
Bot32,"Николай Кадурин",easy,23,Active,"Scav Base","Scav Base: Objective #2","1","16:34:55","N/A",
Bot33,"Marcelo Ritter",easy,39,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","16:35:21","16:36:15",
Bot33,"Marcelo Ritter",easy,39,Completed,"The Blood of War - Part 3","Zone bar_fuel3_3","1","16:36:20","16:37:46",
Bot33,"Marcelo Ritter",easy,39,Completed,"The Blood of War - Part 3","Zone bar_fuel3_1","1","16:37:51","16:40:15",
Bot33,"Marcelo Ritter",easy,39,Completed,"Sawmill Checkpoint","Sawmill Checkpoint: Objective #1","4","16:40:20","16:43:42",
Bot33,"Marcelo Ritter",easy,39,Completed,"Sawmill Camp","Sawmill Camp: Objective #1","1","16:43:47","16:45:14",
Bot33,"Marcelo Ritter",easy,39,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","16:45:19","16:46:09",
Bot33,"Marcelo Ritter",easy,39,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","16:46:14","16:46:41",
Bot33,"Marcelo Ritter",easy,39,Active,"Sawmill Cabins","Sawmill Cabins: Objective #1","2","16:46:46","N/A",
Bot40,"Коля Толич (Fritz)",easy,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","16:38:27","16:41:52",
Bot40,"Коля Толич (Fritz)",easy,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","16:41:57","16:42:36",
Bot40,"Коля Толич (Fritz)",easy,1,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","16:42:41","16:43:12",
Bot40,"Коля Толич (Fritz)",easy,1,Active,"Scav Base","Scav Base: Objective #2","4","16:43:17","N/A",
Bot44,"Clyde Amaro",normal,29,Pending,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","16:43:32","N/A",
Bot43,"Carlton Silver",normal,41,Completed,"Northern UN Roadblock","Northern UN Roadblock: Objective #1","1","16:43:32","16:44:02",
Bot43,"Carlton Silver",normal,41,Active,"VEX Beach","VEX Beach: Objective #1","1","16:44:07","N/A",
Bot45,"Craig Delapaz",hard,21,Completed,"Spine","Spine: Objective #1","1","16:44:53","16:45:41",
Bot45,"Craig Delapaz",hard,21,Completed,"Spine","Spine: Objective #2","1","16:45:46","16:46:33",
Bot45,"Craig Delapaz",hard,21,Completed,"Old Sawmill","Old Sawmill: Objective #1","1","16:46:38","16:47:21",
Bot45,"Craig Delapaz",hard,21,Completed,"Old Sawmill","Old Sawmill: Objective #3","1","16:47:26","16:48:11",
Bot45,"Craig Delapaz",hard,21,Active,"Old Sawmill","Old Sawmill: Objective #2","1","16:48:16","N/A",
Bot46,"Roosevelt Fiorini",easy,36,Active,"Scav Town","Scav Town: Objective #2","1","16:46:54","N/A",
Bot47,"Richard Bock",easy,43,Pending,"Spine","Spine: Objective #1","1","16:46:54","N/A",
