Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot70,"Richard Cahill",easy,36,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:17:19","12:18:41",
Bot70,"Richard Cahill",easy,36,Failed,"Provocation","Zone quest_zone_keeper6_kiba_hide","1","12:18:43","12:19:48",
Bot70,"Richard Cahill",easy,36,Failed,"Provocation","Zone quest_zone_keeper6_kiba_kill","1","12:19:49","12:20:07",
Bot70,"Richard Cahill",easy,36,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","12:20:08","12:23:23",
Bot70,"Richard Cahill",easy,36,Failed,"Minibus","Zone place_merch_21_1","1","12:23:24","12:23:44",
Bot70,"Richard Cahill",easy,36,Failed,"Minibus","Zone place_merch_21_3","1","12:23:49","12:25:40",
Bot71,"Len Heitmann",hard,44,Archived,"Power Station West Shack","Power Station West Shack: Objective #1","1","12:17:19","12:17:32",
Bot71,"Len Heitmann",hard,44,Completed,"IDEA North Bus","IDEA North Bus: Objective #1","1","12:17:37","12:30:31",
Bot71,"Len Heitmann",hard,44,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","12:30:36","12:32:50",
Bot71,"Len Heitmann",hard,44,Active,"The Key to Success","Item Clothes design handbook - Part 1","1","12:32:55","N/A",
Bot72,"Courtney Ezell",hard,39,Failed,"Power Station West Shack","Power Station West Shack: Objective #1","1","12:17:19","12:25:12",
Bot73,"Sid Prichard",hard,35,Pending,"The Blood of War - Part 1","Zone place_WARBLOOD_04_3","1","12:17:19","N/A",
Bot74,"Doyle Gormley",hard,36,Pending,"Boss Hunter","Spawn Point (14.9 36.6 -81.9)","1","12:17:19","N/A",
Bot75,"Brenton Riggio",hard,32,Failed,"Hot Delivery","Zone place_merch_020_2","1","12:17:19","12:18:08",
Bot76,"Shazzbo Чесноков",normal,38,Completed,"Hot Delivery","Zone place_merch_020_2","2","12:17:19","12:19:31",
Bot76,"Shazzbo Чесноков",normal,38,Failed,"Hot Delivery","Zone place_merch_020_1","1","12:19:36","12:21:27",
Bot84,"Stanton Mckenna",easy,51,Failed,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:24:18","12:25:26",
Bot84,"Stanton Mckenna",easy,51,Failed,"Provocation","Zone quest_zone_keeper6_kiba_hide","1","12:25:27","12:28:48",
Bot85,"Christian Mondragon",easy,38,Failed,"Minibus","Zone place_merch_21_3","1","12:24:18","12:29:43",
Bot85,"Christian Mondragon",easy,38,Failed,"Minibus","Zone place_merch_21_2","1","12:29:48","12:30:09",
Bot85,"Christian Mondragon",easy,38,Failed,"Minibus","Zone place_merch_21_1","1","12:30:14","12:31:58",
Bot85,"Christian Mondragon",easy,38,Failed,"Provocation","Zone quest_zone_keeper6_cont_hide","1","12:32:03","12:32:23",
Bot85,"Christian Mondragon",easy,38,Active,"Provocation","Zone quest_zone_keeper6_safe_hide","1","12:32:24","N/A",
Bot86,"Brain Mariani",easy,31,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","12:25:45","12:25:55",
Bot86,"Brain Mariani",easy,31,Active,"The Key to Success","Item Clothes design handbook - Part 1","1","12:26:00","N/A",
Bot87,"Wilton Debnam",easy,30,Pending,"Minibus","Zone place_merch_21_2","1","12:25:45","N/A",
Bot96,"Shazzbo Чайковский",normal,27,Active,"Informed Means Armed","Zone place_skier_11_3","2","12:29:57","N/A",
