Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot44,"Matt Silberman",normal,26,Failed,"The Blood of War - Part 1","Zone place_WARBLOOD_04_2","1","13:44:27","14:01:49",
Bot46,"Rolf Das",hard,12,Completed,"IDEA Office","IDEA Office: Objective #1","2","13:44:27","13:48:06",
Bot46,"Rolf Das",hard,12,Completed,"IDEA Office","IDEA Office: Objective #2","3","13:48:11","13:48:35",
Bot46,"Rolf Das",hard,12,Failed,"IDEA North Bus","IDEA North Bus: Objective #1","1","13:48:40","13:48:40",
Bot46,"Rolf Das",hard,12,Completed,"Goshan North Office","Goshan North Office: Objective #2","1","13:48:45","13:49:53",
Bot46,"Rolf Das",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","4","13:49:58","13:51:39",
Bot46,"Rolf Das",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","4","13:51:44","13:52:41",
Bot46,"Rolf Das",hard,12,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","4","13:52:47","13:53:46",
Bot46,"Rolf Das",hard,12,Failed,"Generic","Generic: Objective #2","1","13:53:51","13:55:31",
Bot43,"Bryce Aho",normal,51,Completed,"Railway Stashes","Railway Stashes: Objective #4","1","13:44:27","13:44:36",
Bot43,"Bryce Aho",normal,51,Completed,"Railway Stashes","Railway Stashes: Objective #5","1","13:44:41","13:46:13",
Bot43,"Bryce Aho",normal,51,Completed,"Railway Stashes","Railway Stashes: Objective #3","1","13:46:19","13:49:37",
Bot43,"Bryce Aho",normal,51,Failed,"Informed Means Armed","Zone place_skier_11_3","1","13:49:42","13:58:04",
Bot45,"Darius Ragusa",normal,40,Completed,"Scav Camp Area","Scav Camp Area: Objective #1","1","13:44:27","14:03:08",
Bot45,"Darius Ragusa",normal,40,Failed,"Scav Camp Area","Scav Camp Area: Objective #2","1","14:03:13","14:03:27",
Bot45,"Darius Ragusa",normal,40,Completed,"Scav Camp Area","Scav Camp Area: Objective #3","1","14:03:32","14:04:11",
Bot45,"Darius Ragusa",normal,40,Failed,"Scav Camp Area","Scav Camp Area: Objective #4","1","14:04:16","14:04:48",
Bot45,"Darius Ragusa",normal,40,Completed,"Scav Camp Area","Scav Camp Area: Objective #5","1","14:04:53","14:05:16",
Bot45,"Darius Ragusa",normal,40,Failed,"Techlight","Techlight: Objective #1","1","14:05:21","14:06:57",
Bot45,"Darius Ragusa",normal,40,Failed,"Techlight","Techlight: Objective #2","1","14:07:02","14:07:21",
Bot47,"Тарас Гулин",normal,15,Completed,"Emercom Extract North Entry","Emercom Extract North Entry: Objective #1","1","13:44:27","13:44:47",
