Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot1,"Art Lahey",normal,12,Completed,"Sawmill Shack","Sawmill Shack: Objective #1","2","14:14:00","14:14:56",
Bot1,"Art Lahey",normal,12,Archived,"Scav Base","Scav Base: Objective #2","4","14:15:01","14:17:27",
Bot1,"Art Lahey",normal,12,Archived,"Scav Base","Scav Base: Objective #3","1","14:17:32","14:17:50",
Bot1,"Art Lahey",normal,12,Archived,"Scav Base","Scav Base: Objective #4","2","14:17:55","14:18:28",
Bot1,"Art Lahey",normal,12,Archived,"Scav Base","Scav Base: Objective #1","4","14:18:33","14:20:00",
Bot1,"Art Lahey",normal,12,Completed,"RUAF Roadblock Sniping","RUAF Roadblock Sniping: Objective #1","2","14:20:05","14:23:14",
Bot1,"Art Lahey",normal,12,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","14:23:19","14:27:15",
Bot1,"Art Lahey",normal,12,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","14:27:20","14:27:40",
Bot1,"Art Lahey",normal,12,Failed,"Weapon Storage Shack","Weapon Storage Shack: Objective #1","1","14:27:45","14:27:57",
Bot3,"Роман Мосалёв",hard,44,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #2","1","14:14:02","14:15:50",
Bot3,"Роман Мосалёв",hard,44,Completed,"RUAF Roadblock Crates","RUAF Roadblock Crates: Objective #1","1","14:15:55","14:16:09",
Bot3,"Роман Мосалёв",hard,44,Completed,"Informed Means Armed","Zone place_skier_11_1","2","14:16:14","14:19:08",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #3","2","14:19:13","14:20:00",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #5","2","14:20:05","14:21:51",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #4","2","14:21:56","14:23:21",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #2","2","14:23:27","14:24:22",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Patrol","Sawmill Patrol: Objective #1","2","14:24:27","14:26:16",
Bot3,"Роман Мосалёв",hard,44,Completed,"Chumming","Zone place_skier_12_3","2","14:26:21","14:27:33",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #2","1","14:27:38","14:28:51",
Bot3,"Роман Мосалёв",hard,44,Completed,"Sawmill Warehouse","Sawmill Warehouse: Objective #1","2","14:28:56","14:29:16",
Bot3,"Роман Мосалёв",hard,44,Completed,"Lend-Lease - Part 1","Item Single-axis Fiber Optic Gyroscope #1","1","14:29:21","14:29:37",
Bot3,"Роман Мосалёв",hard,44,Failed,"Lend-Lease - Part 1","Item Motor Controller #1","1","14:29:43","14:30:56",
Bot6,"Ян Голов",easy,44,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","14:14:05","14:15:43",
Bot6,"Ян Голов",easy,44,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_3","1","14:15:48","14:19:42",
Bot6,"Ян Голов",easy,44,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_2","1","14:19:47","14:21:49",
Bot6,"Ян Голов",easy,44,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #1","1","14:21:54","14:21:58",
Bot6,"Ян Голов",easy,44,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #3","1","14:22:03","14:22:30",
Bot6,"Ян Голов",easy,44,Completed,"Sniper Rock Crates","Sniper Rock Crates: Objective #2","1","14:22:35","14:23:00",
Bot6,"Ян Голов",easy,44,Completed,"Assessment - Part 2","Zone meh_45_radio_area_mark_1","1","14:23:05","14:31:10",
Bot6,"Ян Голов",easy,44,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","14:31:15","14:33:14",
Bot6,"Ян Голов",easy,44,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","14:33:19","14:34:21",
Bot6,"Ян Голов",easy,44,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","14:34:26","14:35:00",
Bot6,"Ян Голов",easy,44,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","14:35:05","14:35:37",
Bot6,"Ян Голов",easy,44,Completed,"USEC Camp South","USEC Camp South: Objective #1","3","14:35:42","14:36:33",
Bot6,"Ян Голов",easy,44,Completed,"USEC Camp South","USEC Camp South: Objective #2","1","14:36:38","14:36:58",
Bot6,"Ян Голов",easy,44,Active,"Sawmill Checkpoint Sniping","Sawmill Checkpoint Sniping: Objective #1","2","14:37:03","N/A",
Bot7,"Андрей Капица",easy,10,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_2","2","14:14:06","14:43:47",
Bot7,"Андрей Капица",easy,10,Completed,"The Survivalist Path - Thrifty","Zone huntsman_005_1","2","14:43:52","14:47:58",
Bot7,"Андрей Капица",easy,10,Pending,"Scav Base","Scav Base: Objective #2","3","14:48:04","N/A",
Bot8,"Станислав Кудрин",easy,42,Failed,"The Blood of War - Part 3","Zone bar_fuel3_2","1","14:14:07","14:15:59",
