Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot33,"Аркадий Некрасов",normal,39,Completed,"Pest Control","Zone eger_barracks_area_2","1","15:54:37","15:56:00",
Bot33,"Аркадий Некрасов",normal,39,Completed,"Pest Control","Zone eger_barracks_area_1","1","15:56:05","15:56:23",
Bot33,"Аркадий Некрасов",normal,39,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","15:56:28","15:58:06",
Bot34,"Moses Pasko",easy,36,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","15:54:38","15:58:30",
Bot34,"Moses Pasko",easy,36,Failed,"Reserve","Zone huntsman_029","1","15:58:31","16:04:11",
Bot35,"Homer Durgin",easy,8,Completed,"NW Bunkers","NW Bunkers: Objective #5","1","15:54:39","15:54:50",
Bot35,"Homer Durgin",easy,8,Failed,"Train Yard Bunker Entrance","Train Yard Bunker Entrance: Objective #2","1","16:00:55","16:03:41",
Bot38,"Jamison Salmeron",normal,41,Failed,"Pest Control","Zone eger_barracks_area_1","1","15:54:42","15:55:56",
Bot39,"Jessie Altizer",normal,5,Completed,"Command Center","Command Center: Objective #2","1","15:54:43","16:02:29",
Bot39,"Jessie Altizer",normal,5,Completed,"Command Center","Command Center: Objective #1","1","16:02:34","16:02:51",
Bot39,"Jessie Altizer",normal,5,Failed,"Command Center","Command Center: Objective #4","3","16:02:56","16:06:16",
Bot44,"Lucien Carrol",hard,42,Completed,"Dome Buildings","Dome Buildings: Objective #1","3","15:54:49","15:57:33",
Bot44,"Lucien Carrol",hard,42,Failed,"Dome Buildings","Dome Buildings: Objective #2","1","15:57:38","15:57:42",
Bot44,"Lucien Carrol",hard,42,Completed,"Dome Buildings","Dome Buildings: Objective #6","1","15:57:47","15:58:38",
Bot44,"Lucien Carrol",hard,42,Failed,"Dome Buildings","Dome Buildings: Objective #5","1","15:58:43","15:59:04",
Bot44,"Lucien Carrol",hard,42,Completed,"Dome Buildings","Dome Buildings: Objective #3","1","15:59:09","15:59:29",
Bot44,"Lucien Carrol",hard,42,Completed,"Dome Buildings","Dome Buildings: Objective #8","1","15:59:34","16:00:13",
Bot44,"Lucien Carrol",hard,42,Failed,"Dome Buildings","Dome Buildings: Objective #7","1","16:00:18","16:00:27",
Bot44,"Lucien Carrol",hard,42,Completed,"Dome Buildings","Dome Buildings: Objective #9","1","16:00:32","16:03:59",
Bot44,"Lucien Carrol",hard,42,Failed,"Hermetic Door Switch","Hermetic Door Switch: Objective #1","1","16:04:04","16:05:16",
Bot44,"Lucien Carrol",hard,42,Failed,"Documents","Item Military documents #2","1","16:05:17","16:11:55",
Bot45,"Rayford Menjivar",hard,60,Pending,"D2 Switch","D2 Switch: Objective #1","1","15:54:50","N/A",
Bot60,"Семён Елисеев",easy,18,Completed,"Inventory Check","Zone baraholshik_arsenal_area_5","1","16:02:36","16:03:12",
Bot60,"Семён Елисеев",easy,18,Completed,"Inventory Check","Zone baraholshik_dejurniy_area_2","1","16:03:17","16:05:24",
Bot60,"Семён Елисеев",easy,18,Completed,"Inventory Check","Zone baraholshik_arsenal_area_4","1","16:05:29","16:06:34",
Bot60,"Семён Елисеев",easy,18,Failed,"Inventory Check","Zone baraholshik_arsenal_area_1","1","16:06:39","16:08:04",
Bot62,"Глеб Агафонов",hard,56,Failed,"D2 Switch","D2 Switch: Objective #1","1","16:02:38","16:04:43",
Bot61,"Вячеслав Асланов",hard,44,Failed,"D2 Switch","D2 Switch: Objective #1","1","16:02:40","16:05:19",
Bot65,"Костян Билетик (Герасим)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #9","1","16:06:51","16:07:27",
Bot65,"Костян Билетик (Герасим)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #10","1","16:07:32","16:08:05",
Bot65,"Костян Билетик (Герасим)",normal,1,Failed,"Black Pawn","Black Pawn: Objective #8","1","16:08:10","16:08:33",
Bot65,"Костян Билетик (Герасим)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #3","1","16:08:38","16:08:50",
Bot65,"Костян Билетик (Герасим)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #11","1","16:08:55","16:09:56",
Bot65,"Костян Билетик (Герасим)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #4","1","16:10:01","16:10:42",
Bot65,"Костян Билетик (Герасим)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #7","1","16:10:48","16:11:07",
