Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot231,"Lewis Gatlin",normal,37,Failed,"Documents","Item Military documents #1","1","18:04:48","18:05:18",
Bot231,"Lewis Gatlin",normal,37,Failed,"Documents","Item Military documents #2","1","18:05:23","18:05:32",
Bot231,"Lewis Gatlin",normal,37,Failed,"Documents","Item Military documents #3","1","18:05:37","18:05:37",
Bot231,"Lewis Gatlin",normal,37,Failed,"Black Pawn Roof","Black Pawn Roof: Objective #2","2","18:05:42","18:09:17",
Bot233,"Jamal Comacho",easy,55,Failed,"Command Center","Command Center: Objective #9","1","18:04:48","18:18:23",
Bot234,"Glen Hamlett",easy,31,Failed,"Disease History","Item Medical record #2","1","18:04:48","18:07:44",
Bot232,"Mary Stough",easy,37,Failed,"D2 Switch","D2 Switch: Objective #1","3","18:04:48","18:13:24",
Bot232,"Mary Stough",easy,37,Completed,"Boss Hunter","Spawn Point (-149.9 -6.2 -10.4)","1","18:08:19","18:12:34",
Bot232,"Mary Stough",easy,37,Failed,"Boss Hunter","Spawn Point (-105.6 -14.5 21.8)","1","18:12:39","18:13:24",
Bot235,"Harrison Louie",normal,36,Completed,"Pest Control","Zone eger_barracks_area_1","1","18:04:48","18:06:10",
Bot235,"Harrison Louie",normal,36,Failed,"Pest Control","Zone eger_barracks_area_2","1","18:06:15","18:09:14",
Bot249,"Brooks Pero",easy,37,Failed,"Pest Control","Zone eger_barracks_area_2","1","18:11:08","18:13:02",
Bot248,"Jospeh Bodkin",easy,22,Failed,"The Bunker - Part 1","Zone prapor_024_area_2","1","18:11:08","18:13:58",
Bot250,"Marion Eskridge",hard,39,Failed,"Documents","Item Military documents #1","1","18:11:36","18:13:48",
Bot251,"Emilio Sera",hard,27,Failed,"Disease History","Item Medical record #2","1","18:11:36","18:15:13",
Bot251,"Emilio Sera",hard,27,Failed,"Disease History","Item Medical record #1","1","18:15:18","18:15:35",
Bot251,"Emilio Sera",hard,27,Completed,"The Bunker - Part 2","Zone prapor_025_area_1","1","18:15:40","18:15:53",
Bot251,"Emilio Sera",hard,27,Completed,"The Bunker - Part 2","Zone prapor_025_area_5","1","18:15:59","18:16:14",
Bot251,"Emilio Sera",hard,27,Failed,"The Bunker - Part 2","Zone prapor_025_area_4","1","18:16:19","18:19:03",
Bot251,"Emilio Sera",hard,27,Failed,"The Bunker - Part 2","Zone prapor_025_area_3","1","18:19:08","18:19:25",
Bot251,"Emilio Sera",hard,27,Completed,"Pest Control","Zone eger_barracks_area_2","1","18:19:31","18:20:25",
Bot251,"Emilio Sera",hard,27,Failed,"Pest Control","Zone eger_barracks_area_1","1","18:20:30","18:20:46",
Bot252,"Авксентий Никулин (Fritz)",hard,1,Failed,"White Bishop","White Bishop: Objective #3","1","18:11:48","18:13:22",
Bot252,"Авксентий Никулин (Fritz)",hard,1,Failed,"White Bishop","White Bishop: Objective #7","1","18:12:17","18:13:22",
Bot253,"Иржан Чебур (Наум)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #9","1","18:12:18","18:12:54",
Bot253,"Иржан Чебур (Наум)",normal,1,Failed,"Black Pawn","Black Pawn: Objective #8","1","18:12:59","18:12:59",
Bot253,"Иржан Чебур (Наум)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #7","1","18:13:04","18:13:39",
Bot253,"Иржан Чебур (Наум)",normal,1,Failed,"Black Pawn","Black Pawn: Objective #10","1","18:13:44","18:14:26",
Bot253,"Иржан Чебур (Наум)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #6","1","18:14:31","18:14:35",
Bot253,"Иржан Чебур (Наум)",normal,1,Failed,"Black Pawn","Black Pawn: Objective #1","1","18:14:40","18:14:43",
Bot253,"Иржан Чебур (Наум)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #5","1","18:14:48","18:15:15",
Bot253,"Иржан Чебур (Наум)",normal,1,Failed,"Black Pawn","Black Pawn: Objective #2","1","18:15:20","18:15:20",
Bot253,"Иржан Чебур (Наум)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #4","1","18:15:25","18:15:47",
Bot253,"Иржан Чебур (Наум)",normal,1,Completed,"Black Pawn","Black Pawn: Objective #3","1","18:15:52","18:16:10",
