Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot143,"Афанасий Калугин",normal,45,Active,"Black Pawn","Black Pawn: Objective #5","1","17:17:38","N/A",
Bot144,"Альберт Лялюшкин",normal,29,Pending,"Command Center","Command Center: Objective #9","1","17:17:38","N/A",
Bot145,"Павел Рэмба (Amado)",normal,1,Failed,"White Rook Barracks","White Rook Barracks: Objective #2","1","17:17:39","17:19:01",
Bot145,"Павел Рэмба (Amado)",normal,1,Failed,"White Rook Barracks","White Rook Barracks: Objective #1","1","17:19:07","17:19:25",
Bot145,"Павел Рэмба (Amado)",normal,1,Active,"White Rook Barracks","White Rook Barracks: Objective #3","1","17:19:30","N/A",
Bot148,"Marcellus Cournoyer",easy,42,Pending,"BMP #1 Tower","BMP #1 Tower: Objective #1","1","17:17:40","N/A",
Bot147,"Dante Luckett",easy,38,Pending,"BMP #1 Tower","BMP #1 Tower: Objective #1","1","17:17:40","N/A",
Bot147,"Dante Luckett",easy,38,Active,"Command Center","Command Center: Objective #1","1","17:17:40","N/A",
Bot152,"Корнил Паршин",normal,37,Pending,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","17:17:41","N/A",
Bot151,"Максим Вихров",normal,40,Active,"White Knight","White Knight: Objective #1","1","17:17:42","N/A",
Bot153,"Granville Condrey",easy,24,Active,"Command Center","Command Center: Objective #1","1","17:17:44","N/A",
