Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot35,"Андрей Аристов",normal,18,Completed,"Pets Won't Need It - Part 2","Zone Pharma_2","1","18:40:33","18:42:34",
Bot35,"Андрей Аристов",normal,18,Failed,"Pets Won't Need It - Part 2","Zone Pharma_1","1","18:42:39","18:44:35",
Bot33,"Dion Bellino",normal,39,Failed,"Developer's Secrets - Part 2","Zone Hookah_quest","1","18:40:33","18:42:48",
Bot33,"Dion Bellino",normal,39,Completed,"Missing Informant","Zone quest_zone_keeper99","1","18:42:54","18:43:46",
Bot33,"Dion Bellino",normal,39,Failed,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_1","1","18:43:51","18:43:51",
Bot33,"Dion Bellino",normal,39,Failed,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_2","1","18:43:56","18:43:56",
Bot33,"Dion Bellino",normal,39,Failed,"Revision - Streets of Tarkov","Zone quest_zone_place_c14_revx_3","1","18:44:01","18:44:10",
Bot33,"Dion Bellino",normal,39,Failed,"Properties All Around","Item Cadastral registry records","1","18:44:15","18:44:15",
Bot33,"Dion Bellino",normal,39,Failed,"Properties All Around","Zone fond_quest","1","18:44:20","18:44:36",
Bot33,"Dion Bellino",normal,39,Failed,"The Hive","The Hive: Objective #4","1","18:44:42","18:45:20",
Bot33,"Dion Bellino",normal,39,Failed,"The Hive","The Hive: Objective #3","1","18:45:25","18:45:25",
Bot33,"Dion Bellino",normal,39,Failed,"The Hive","The Hive: Objective #5","1","18:45:30","18:46:29",
Bot32,"Merlin Meltzer",normal,27,Failed,"Developer's Secrets - Part 2","Zone Hookah_quest","1","18:40:33","18:41:11",
Bot34,"Elijah Mcneel",normal,36,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","18:40:33","18:40:41",
Bot34,"Elijah Mcneel",normal,36,Failed,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","18:40:46","18:41:48",
Bot36,"Devon Wommack",normal,36,Completed,"Pyramid Scheme","Zone Bank_points_6","1","18:40:33","18:41:00",
Bot36,"Devon Wommack",normal,36,Completed,"Pyramid Scheme","Zone Bank_points_5","1","18:41:05","18:43:22",
Bot36,"Devon Wommack",normal,36,Failed,"Pyramid Scheme","Zone Bank_points_15","1","18:43:28","18:46:11",
Bot38,"Стас Зимин",normal,38,Pending,"Broadcast - Part 5","Zone quest_zone_find_2st_mech","1","18:40:33","N/A",
Bot37,"Захар Николаев",normal,39,Failed,"House Arrest - Part 2","Zone quest_zone_c8_dom2_dead","1","18:40:33","18:41:26",
Bot37,"Захар Николаев",normal,39,Failed,"House Arrest - Part 2","Zone quest_zone_c8_dom2","1","18:41:31","18:45:04",
Bot37,"Захар Николаев",normal,39,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #1","1","18:45:09","18:45:48",
Bot37,"Захар Николаев",normal,39,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #4","1","18:45:53","18:46:50",
Bot37,"Захар Николаев",normal,39,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #3","1","18:46:55","18:47:28",
Bot37,"Захар Николаев",normal,39,Completed,"Checkannaya 15 Upstairs","Checkannaya 15 Upstairs: Objective #2","2","18:47:33","18:48:12",
Bot37,"Захар Николаев",normal,39,Failed,"Your Car Needs a Service","Item Secure Flash drive","1","18:48:17","18:51:17",
Bot37,"Захар Николаев",normal,39,Completed,"Road Closed","Zone quest_zone_c16_koll_2","1","18:51:22","18:53:30",
Bot37,"Захар Николаев",normal,39,Completed,"Road Closed","Zone quest_zone_c16_koll_1","1","18:53:35","18:55:41",
Bot37,"Захар Николаев",normal,39,Completed,"Pyramid Scheme","Zone Bank_points_5","1","18:55:46","18:55:59",
Bot50,"Лаврентий Шкут",normal,42,Failed,"Broadcast - Part 4","Zone quest_zone_c27_sect","1","18:46:01","18:46:06",
Bot50,"Лаврентий Шкут",normal,42,Failed,"Broadcast - Part 3","Zone quest_zone_c25_cinem2","1","18:46:11","18:48:20",
Bot50,"Лаврентий Шкут",normal,42,Failed,"The Hive","The Hive: Objective #1","1","18:48:25","18:49:10",
Bot50,"Лаврентий Шкут",normal,42,Failed,"The Hive","The Hive: Objective #2","1","18:49:15","18:49:35",
Bot50,"Лаврентий Шкут",normal,42,Failed,"The Hive","The Hive: Objective #3","1","18:49:40","18:49:40",
Bot50,"Лаврентий Шкут",normal,42,Failed,"The Hive","The Hive: Objective #4","1","18:49:45","18:51:53",
Bot53,"Lazaro Essary",normal,28,Completed,"Pets Won't Need It - Part 2","Zone Pharma_1","1","18:49:05","18:49:43",
Bot53,"Lazaro Essary",normal,28,Pending,"Pets Won't Need It - Part 2","Zone Pharma_2","1","18:49:48","N/A",
Bot53,"Lazaro Essary",normal,28,Completed,"Pets Won't Need It - Part 2","Zone Pharma_3","1","18:50:26","18:53:41",
Bot53,"Lazaro Essary",normal,28,Failed,"Beyond the Red Meat - Part 2","Item Secret component","1","18:53:46","18:55:53",
Bot53,"Lazaro Essary",normal,28,Completed,"Pyramid Scheme","Zone Bank_points_10","1","18:55:58","18:56:25",
Bot53,"Lazaro Essary",normal,28,Completed,"Pyramid Scheme","Zone Bank_points_13","1","18:56:31","18:56:48",
Bot53,"Lazaro Essary",normal,28,Active,"Pyramid Scheme","Zone Bank_points_14","1","18:56:53","N/A",
