Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot86,"Marcellus Monsour",easy,40,Completed,"Boss Hunter","Spawn Point (-266.8 -6.2 23.1)","1","16:01:06","16:01:17",
Bot86,"Marcellus Monsour",easy,40,Completed,"Boss Hunter","Spawn Point (-174.1 -6.9 1.2)","1","16:01:22","16:01:47",
Bot86,"Marcellus Monsour",easy,40,Failed,"Boss Hunter","Spawn Point (-145.4 -6.9 53.3)","1","16:01:52","16:02:30",
Bot84,"Logan Breton",normal,54,Completed,"Boss Hunter","Spawn Point (-140.2 -7.0 -35.5)","1","16:01:06","16:01:26",
Bot84,"Logan Breton",normal,54,Failed,"Boss Hunter","Spawn Point (-94.9 -14.8 3.4)","1","16:01:31","16:03:40",
Bot85,"Jan Kappler",normal,25,Failed,"Revision - Reserve","Zone tadeush_bmp2_area_check_2","1","16:01:06","16:03:39",
Bot87,"Millard Savoie",easy,64,Failed,"Command Center Rush","Command Center Rush: Objective #2","1","16:01:06","16:04:55",
Bot88,"Normand Donnell",hard,41,Completed,"Pest Control","Zone eger_barracks_area_1","1","16:01:06","16:01:31",
Bot88,"Normand Donnell",hard,41,Completed,"Pest Control","Zone eger_barracks_area_2","1","16:01:36","16:01:51",
Bot88,"Normand Donnell",hard,41,Failed,"Command Center","Command Center: Objective #9","1","16:01:57","16:02:47",
Bot94,"Ted Yoshioka",normal,51,Failed,"Snatch","Zone tadeush_bmp2_area_mark_12","1","16:01:09","16:09:38",
Bot95,"Grover Schuler",normal,61,Failed,"White Knight","White Knight: Objective #3","1","16:01:09","16:09:50",
Bot111,"Warren Canon",easy,37,Completed,"Pest Control","Zone eger_barracks_area_1","1","16:14:32","16:14:52",
Bot111,"Warren Canon",easy,37,Completed,"Pest Control","Zone eger_barracks_area_2","1","16:14:57","16:15:12",
Bot111,"Warren Canon",easy,37,Failed,"Documents","Item Military documents #3","1","16:15:17","16:16:14",
Bot112,"Oscar Imai",normal,40,Completed,"Reserve","Zone huntsman_029","1","16:16:52","16:17:02",
Bot112,"Oscar Imai",normal,40,Completed,"Train Yard","Train Yard: Objective #4","1","16:17:07","16:18:07",
Bot112,"Oscar Imai",normal,40,Failed,"Train Yard","Train Yard: Objective #1","1","16:18:13","16:22:06",
Bot113,"Isaiah Merkle",normal,36,Failed,"White Rook Barracks","White Rook Barracks: Objective #1","1","16:17:57","16:17:59",
Bot113,"Isaiah Merkle",normal,36,Completed,"White Rook Barracks","White Rook Barracks: Objective #2","1","16:18:04","16:19:20",
Bot113,"Isaiah Merkle",normal,36,Pending,"White Rook Barracks","White Rook Barracks: Objective #3","1","16:19:25","N/A",
Bot113,"Isaiah Merkle",normal,36,Failed,"RB-ST","RB-ST: Objective #1","1","16:20:10","16:29:43",
Bot113,"Isaiah Merkle",normal,36,Completed,"Knight Garages","Knight Garages: Objective #1","1","16:29:48","16:30:14",
Bot113,"Isaiah Merkle",normal,36,Completed,"Knight Garages","Knight Garages: Objective #2","1","16:30:19","16:30:42",
Bot113,"Isaiah Merkle",normal,36,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #2","1","16:30:47","16:31:17",
Bot113,"Isaiah Merkle",normal,36,Completed,"Sewer Manhole Building","Sewer Manhole Building: Objective #1","1","16:31:22","16:31:33",
Bot113,"Isaiah Merkle",normal,36,Active,"Checkpoint","Checkpoint: Objective #1","1","16:31:38","N/A",
Bot115,"Макар Туполев",easy,11,Failed,"Black Knight","Black Knight: Objective #1","1","16:18:00","16:26:37",
Bot114,"Клим Аксенчук",easy,65,Completed,"White Knight","White Knight: Objective #1","3","16:18:00","16:19:07",
Bot114,"Клим Аксенчук",easy,65,Failed,"White Knight","White Knight: Objective #3","2","16:19:12","16:21:01",
Bot122,"Tracy Geiger",hard,28,Completed,"Hermetic Depot","Hermetic Depot: Objective #3","1","16:24:44","16:24:52",
Bot122,"Tracy Geiger",hard,28,Failed,"Hermetic Depot","Hermetic Depot: Objective #8","1","16:24:57","16:25:48",
Bot122,"Tracy Geiger",hard,28,Completed,"Hermetic Depot","Hermetic Depot: Objective #4","1","16:25:53","16:27:49",
Bot122,"Tracy Geiger",hard,28,Completed,"Hermetic Depot","Hermetic Depot: Objective #2","1","16:27:54","16:28:28",
Bot122,"Tracy Geiger",hard,28,Completed,"Hermetic Depot","Hermetic Depot: Objective #6","1","16:28:33","16:29:00",
Bot122,"Tracy Geiger",hard,28,Completed,"Hermetic Depot","Hermetic Depot: Objective #1","1","16:29:05","16:29:58",
Bot122,"Tracy Geiger",hard,28,Completed,"Train Yard","Train Yard: Objective #1","1","16:30:03","16:31:24",
Bot122,"Tracy Geiger",hard,28,Completed,"Train Yard","Train Yard: Objective #4","1","16:31:29","16:31:42",
Bot122,"Tracy Geiger",hard,28,Active,"Train Yard","Train Yard: Objective #5","1","16:31:47","N/A",
Bot123,"Shazzbo Elias",hard,30,Failed,"White Knight RB-MP22","White Knight RB-MP22: Objective #1","1","16:24:44","16:25:35",
Bot125,"Рудик Гусар (Frank)",hard,1,Failed,"D2 from Dome","D2 from Dome: Objective #2","1","16:24:47","16:24:52",
Bot125,"Рудик Гусар (Frank)",hard,1,Failed,"D2 from Dome","D2 from Dome: Objective #1","1","16:24:57","16:25:29",
Bot125,"Рудик Гусар (Frank)",hard,1,Failed,"D2 from Dome","D2 from Dome: Objective #3","1","16:25:34","16:26:04",
Bot125,"Рудик Гусар (Frank)",hard,1,Failed,"White Pawn","White Pawn: Objective #4","1","16:26:09","16:30:07",
Bot128,"Ross Brouwer",easy,60,Pending,"D2 Area","D2 Area: Objective #1","1","16:25:16","N/A",
Bot127,"Darrel Stops",easy,35,Pending,"D2 from Dome","D2 from Dome: Objective #2","1","16:25:16","N/A",
Bot126,"Alphonso Capozzi",easy,68,Completed,"D2 Area","D2 Area: Objective #1","1","16:25:16","16:25:20",
Bot126,"Alphonso Capozzi",easy,68,Completed,"D2 Area","D2 Area: Objective #2","1","16:25:25","16:25:43",
Bot126,"Alphonso Capozzi",easy,68,Completed,"D2 Area","D2 Area: Objective #4","1","16:25:48","16:26:09",
Bot126,"Alphonso Capozzi",easy,68,Failed,"D2 Area","D2 Area: Objective #3","1","16:26:14","16:31:03",
Bot126,"Alphonso Capozzi",easy,68,Active,"D2 Switch","D2 Switch: Objective #1","1","16:31:08","N/A",
Bot130,"Stanford Dennard",normal,35,Completed,"Black Pawn","Black Pawn: Objective #5","1","16:26:24","16:26:43",
Bot130,"Stanford Dennard",normal,35,Completed,"Black Pawn","Black Pawn: Objective #6","1","16:26:49","16:27:02",
Bot130,"Stanford Dennard",normal,35,Failed,"Black Pawn","Black Pawn: Objective #1","1","16:27:07","16:27:26",
Bot130,"Stanford Dennard",normal,35,Failed,"Black Pawn","Black Pawn: Objective #2","1","16:27:32","16:27:32",
Bot130,"Stanford Dennard",normal,35,Completed,"Black Pawn","Black Pawn: Objective #7","1","16:27:37","16:28:07",
Bot130,"Stanford Dennard",normal,35,Completed,"Black Pawn","Black Pawn: Objective #10","1","16:28:13","16:29:22",
Bot130,"Stanford Dennard",normal,35,Completed,"Black Pawn","Black Pawn: Objective #9","1","16:29:27","16:30:01",
Bot130,"Stanford Dennard",normal,35,Completed,"Black Pawn","Black Pawn: Objective #4","1","16:30:06","16:30:36",
Bot130,"Stanford Dennard",normal,35,Active,"Black Pawn","Black Pawn: Objective #11","1","16:30:41","N/A",
Bot132,"Вован Сиська (Edward)",normal,1,Failed,"White Knight Rear Drop-Down","White Knight Rear Drop-Down: Objective #1","1","16:27:26","16:28:04",
