Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot40,"Вениамин Юшков",easy,37,Failed,"Chumming","Zone place_skier_12_1","1","11:44:20","11:48:00",
Bot39,"Shazzbo Тихвинский",easy,40,Failed,"Minibus","Zone place_merch_21_3","1","11:44:20","11:45:44",
Bot39,"Shazzbo Тихвинский",easy,40,Failed,"Minibus","Zone place_merch_21_2","1","11:45:49","11:46:34",
Bot39,"Shazzbo Тихвинский",easy,40,Failed,"Minibus","Zone place_merch_21_1","1","11:46:39","11:46:50",
Bot42,"Homer Rode",normal,59,Failed,"Provocation","Zone quest_zone_keeper6_kiba_kill","1","11:44:20","11:51:13",
Bot41,"Jarod Bowling",normal,42,Completed,"Hot Delivery","Zone place_merch_020_2","2","11:44:20","11:45:31",
Bot41,"Jarod Bowling",normal,42,Completed,"Hot Delivery","Zone place_merch_020_1","2","11:45:36","11:53:46",
Bot41,"Jarod Bowling",normal,42,Completed,"Vitamins - Part 1","Item Chemical container #3","1","11:53:51","11:55:44",
Bot41,"Jarod Bowling",normal,42,Pending,"Vitamins - Part 1","Item Chemical container #2","1","11:55:49","N/A",
Bot41,"Jarod Bowling",normal,42,Completed,"Informed Means Armed","Zone place_skier_11_3","2","11:56:51","11:57:50",
Bot41,"Jarod Bowling",normal,42,Failed,"Minibus","Zone place_merch_21_2","1","11:57:55","11:57:57",
Bot41,"Jarod Bowling",normal,42,Failed,"Minibus","Zone place_merch_21_3","1","11:58:02","11:58:36",
Bot41,"Jarod Bowling",normal,42,Failed,"Minibus","Zone place_merch_21_1","1","11:58:41","12:01:08",
Bot43,"Amos Oxendine",easy,42,Completed,"Hot Delivery","Zone place_merch_020_2","2","11:44:20","11:49:05",
Bot43,"Amos Oxendine",easy,42,Failed,"Hot Delivery","Zone place_merch_020_1","1","11:49:10","11:51:46",
Bot54,"Abram Oleson",normal,37,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","1","11:50:41","11:51:11",
Bot54,"Abram Oleson",normal,37,Failed,"Goshan Food Spawns","Goshan Food Spawns: Objective #3","1","11:51:17","12:01:59",
Bot54,"Abram Oleson",normal,37,Completed,"Goshan Food Spawns","Goshan Food Spawns: Objective #1","4","11:52:50","11:56:02",
Bot54,"Abram Oleson",normal,37,Completed,"Hot Delivery","Zone place_merch_020_1","2","11:56:07","11:59:10",
Bot54,"Abram Oleson",normal,37,Failed,"Hot Delivery","Zone place_merch_020_2","1","11:59:15","12:01:59",
Bot57,"Jesus Usry",hard,36,Pending,"The Key to Success","Item Clothes design handbook - Part 2","1","11:52:21","N/A",
Bot55,"Antony Rymer",hard,42,Completed,"Power Station","Power Station: Objective #2","2","11:52:21","11:52:50",
Bot55,"Antony Rymer",hard,42,Completed,"Power Station","Power Station: Objective #1","3","11:52:55","11:53:24",
Bot55,"Antony Rymer",hard,42,Failed,"Power Station West Shack","Power Station West Shack: Objective #1","1","11:53:29","11:58:07",
Bot55,"Antony Rymer",hard,42,Active,"Goshan Food Spawns","Goshan Food Spawns: Objective #2","1","11:58:12","N/A",
Bot56,"Alan Deluca",hard,41,Pending,"Minibus","Zone place_merch_21_2","1","11:52:21","N/A",
Bot58,"Emile Weatherall",hard,27,Pending,"The Key to Success","Item Clothes design handbook - Part 2","1","11:52:21","N/A",
Bot59,"Антон Розанов",easy,39,Failed,"Chumming","Zone place_skier_12_1","2","11:52:39","11:54:37",
Bot64,"Shazzbo Куклев",normal,43,Failed,"The Key to Success","Item Clothes design handbook - Part 2","1","11:57:03","11:57:57",
Bot65,"Бронислав Максимушкин",hard,17,Completed,"Techlight","Techlight: Objective #2","3","12:00:43","12:02:51",
Bot65,"Бронислав Максимушкин",hard,17,Completed,"Techlight","Techlight: Objective #1","3","12:02:57","12:03:50",
Bot65,"Бронислав Максимушкин",hard,17,Failed,"ULTRA Medical Storage","ULTRA Medical Storage: Objective #1","1","12:03:55","12:04:23",
Bot65,"Бронислав Максимушкин",hard,17,Pending,"DOM","DOM: Objective #2","1","12:04:28","N/A",
Bot67,"Русик Шустрила (Shirley)",normal,1,Completed,"The National","The National: Objective #2","1","12:02:13","12:02:43",
Bot67,"Русик Шустрила (Shirley)",normal,1,Completed,"The National","The National: Objective #1","2","12:02:48","12:03:25",
Bot67,"Русик Шустрила (Shirley)",normal,1,Active,"OLI Mall Entrance","OLI Mall Entrance: Objective #3","1","12:03:30","N/A",
Bot68,"Лаврентий Бессонов",normal,37,Active,"KIBA","KIBA: Objective #1","1","12:02:33","N/A",
Bot69,"Максим Игумнов",normal,40,Completed,"IDEA Office","IDEA Office: Objective #3","1","12:03:23","12:03:29",
Bot69,"Максим Игумнов",normal,40,Pending,"IDEA Office","IDEA Office: Objective #2","3","12:03:34","N/A",
